,ds,location,data_type,value
465,13-04-2020,India,deaths_new,27
466,12-04-2020,India,cases_new,759
467,12-04-2020,India,recovered_new,111
468,12-04-2020,India,deaths_new,43
469,11-04-2020,India,cases_new,848
470,11-04-2020,India,recovered_new,195
471,11-04-2020,India,deaths_new,42
472,10-04-2020,India,cases_new,873
473,10-04-2020,India,recovered_new,154
474,10-04-2020,India,deaths_new,20
475,09-04-2020,India,cases_new,809
476,09-04-2020,India,recovered_new,114
477,09-04-2020,India,deaths_new,48
478,08-04-2020,India,recovered_new,85
479,08-04-2020,India,cases_new,605
480,08-04-2020,India,deaths_new,28
481,07-04-2020,India,recovered_new,46
482,07-04-2020,India,cases_new,533
483,07-04-2020,India,deaths_new,14
484,06-04-2020,India,recovered_new,146
485,06-04-2020,India,cases_new,1190
486,06-04-2020,India,deaths_new,37
487,05-04-2020,India,cases_new,506
488,05-04-2020,India,deaths_new,13
489,04-04-2020,India,recovered_new,37
490,04-04-2020,India,cases_new,515
491,04-04-2020,India,deaths_new,14
492,03-04-2020,India,recovered_new,1
493,03-04-2020,India,cases_new,24
494,02-04-2020,India,recovered_new,43
495,02-04-2020,India,cases_new,545
496,02-04-2020,India,deaths_new,14
497,01-04-2020,India,recovered_new,25
498,01-04-2020,India,cases_new,601
499,01-04-2020,India,deaths_new,23
500,31-03-2020,India,recovered_new,21
501,31-03-2020,India,cases_new,146
502,31-03-2020,India,deaths_new,3
503,30-03-2020,India,recovered_new,7
504,30-03-2020,India,cases_new,227
505,30-03-2020,India,deaths_new,5
506,29-03-2020,India,recovered_new,11
507,29-03-2020,India,cases_new,37
508,29-03-2020,India,deaths_new,3
509,28-03-2020,India,recovered_new,11
510,28-03-2020,India,cases_new,100
511,28-03-2020,India,deaths_new,4
512,27-03-2020,India,recovered_new,28
513,27-03-2020,India,cases_new,160
514,26-03-2020,India,recovered_new,2
515,26-03-2020,India,cases_new,70
516,26-03-2020,India,deaths_new,8
517,25-03-2020,India,recovered_new,3
518,25-03-2020,India,cases_new,121
519,25-03-2020,India,deaths_new,2
520,24-03-2020,India,recovered_new,13
521,24-03-2020,India,cases_new,37
522,23-03-2020,India,cases_new,103
523,23-03-2020,India,deaths_new,3
524,22-03-2020,India,recovered_new,4
525,22-03-2020,India,cases_new,66
526,22-03-2020,India,deaths_new,3
527,21-03-2020,India,recovered_new,3
528,21-03-2020,India,cases_new,86
529,21-03-2020,India,deaths_new,-1
530,20-03-2020,India,recovered_new,5
531,20-03-2020,India,cases_new,50
532,20-03-2020,India,deaths_new,1
533,19-03-2020,India,recovered_new,1
534,19-03-2020,India,cases_new,38
535,19-03-2020,India,deaths_new,1
536,18-03-2020,India,cases_new,14
537,17-03-2020,India,recovered_new,1
538,17-03-2020,India,cases_new,23
539,17-03-2020,India,deaths_new,1
540,16-03-2020,India,cases_new,6
541,15-03-2020,India,recovered_new,9
542,15-03-2020,India,cases_new,11
543,14-03-2020,India,cases_new,20
544,13-03-2020,India,cases_new,9
545,13-03-2020,India,deaths_new,1
546,12-03-2020,India,cases_new,11
547,11-03-2020,India,cases_new,6
548,11-03-2020,India,deaths_new,1
549,10-03-2020,India,recovered_new,1
550,10-03-2020,India,cases_new,13
551,09-03-2020,India,cases_new,4
552,08-03-2020,India,cases_new,5
553,07-03-2020,India,cases_new,3
554,06-03-2020,India,cases_new,1
555,05-03-2020,India,cases_new,2
556,04-03-2020,India,cases_new,23
557,02-03-2020,India,cases_new,2
558,16-02-2020,India,recovered_new,3
559,03-02-2020,India,cases_new,1
560,02-02-2020,India,cases_new,1
561,30-01-2020,India,cases_new,1
