room_type,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,0,0,6,2,999
Entire home/apt,0,0,7,2,750
Entire home/apt,0,0,5,2,800
Entire home/apt,0,0,4,2,895
Entire home/apt,3,3.5,7,3,1000
Entire home/apt,0,0,5,2,900
Entire home/apt,0,0,3,1,800
Entire home/apt,6,4.5,6,3,850
Entire home/apt,0,0,4,2,800
Entire home/apt,0,0,8,3,950
Entire home/apt,36,5,7,4,990
Entire home/apt,0,0,2,1,700
Entire home/apt,0,0,8,2,900
Entire home/apt,0,0,4,2,750
Entire home/apt,0,0,4,1,800
Entire home/apt,0,0,5,2,750
Entire home/apt,0,0,7,3,750
Entire home/apt,0,0,2,1,899
Entire home/apt,0,0,8,3,899
Entire home/apt,0,0,4,1,730
Entire home/apt,0,0,6,2,925
Entire home/apt,0,0,3,1,900
Entire home/apt,0,0,5,2,750
Entire home/apt,1,0,7,4,845
Entire home/apt,0,0,5,2,1000
Entire home/apt,0,0,10,3,875
Entire home/apt,0,0,6,3,900
Entire home/apt,0,0,8,3,1000
Entire home/apt,0,0,6,2,900
Entire home/apt,0,0,2,1,900
Entire home/apt,0,0,8,3,850
Entire home/apt,0,0,4,0,1000
Entire home/apt,0,0,4,2,1000
Entire home/apt,0,0,8,3,1000
Entire home/apt,0,0,3,1,900
Entire home/apt,0,0,3,3,900
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,4,2,1000
Entire home/apt,0,0,12,3,800
Entire home/apt,0,0,5,3,990
Entire home/apt,0,0,4,0,1000
Entire home/apt,0,0,8,3,1000
Entire home/apt,1,0,8,4,800
Entire home/apt,0,0,6,3,800
Entire home/apt,0,0,10,3,800
Entire home/apt,0,0,5,2,1000
Entire home/apt,0,0,6,0,950
Entire home/apt,0,0,4,2,800
Entire home/apt,0,0,6,3,1000
Entire home/apt,0,0,2,0,1000
Entire home/apt,0,0,6,2,990
Entire home/apt,0,0,4,1,900
Entire home/apt,0,0,10,3,1000
Entire home/apt,0,0,6,4,860
Entire home/apt,0,0,3,1,1000
Entire home/apt,0,0,10,4,835
Entire home/apt,0,0,3,1,1000
Entire home/apt,28,4.5,6,2,890
Entire home/apt,0,0,3,1,750
Entire home/apt,0,0,4,2,800
Entire home/apt,0,0,6,3,925
Entire home/apt,0,0,5,2,760
Entire home/apt,0,0,7,3,950
Entire home/apt,0,0,4,1,1050
Entire home/apt,0,0,4,2,1500
Entire home/apt,12,5,16,7,1028
Entire home/apt,0,0,2,1,1100
Entire home/apt,0,0,7,3,1150
Entire home/apt,0,0,10,4,1500
Entire home/apt,0,0,7,3,1200
Entire home/apt,0,0,2,1,1200
Entire home/apt,0,0,6,3,1500
Entire home/apt,0,0,6,2,1200
Entire home/apt,0,0,5,2,1450
Entire home/apt,0,0,6,3,1200
Entire home/apt,0,0,5,2,1200
Entire home/apt,0,0,8,3,1250
Entire home/apt,0,0,7,3,1200
Entire home/apt,0,0,4,0,1500
Entire home/apt,0,0,4,2,1500
Entire home/apt,0,0,5,2,1200
Entire home/apt,0,0,8,3,1200
Entire home/apt,0,0,4,2,1500
Entire home/apt,0,0,5,1,1500
Entire home/apt,0,0,4,1,1500
Entire home/apt,3,5,10,4,1500
Entire home/apt,0,0,9,3,1400
Entire home/apt,0,0,7,4,1500
Entire home/apt,0,0,10,3,1350
Entire home/apt,0,0,6,3,1500
Entire home/apt,1,0,10,5,1500
Entire home/apt,0,0,4,1,1500
Entire home/apt,0,0,5,2,980
Entire home/apt,0,0,6,2,800
Entire home/apt,0,0,6,2,1000
Entire home/apt,0,0,4,1,900
Entire home/apt,0,0,5,2,800
Entire home/apt,0,0,4,2,800
Entire home/apt,1,0,7,3,750
Entire home/apt,17,5,12,5,755
Entire home/apt,1,0,8,3,750
Entire home/apt,0,0,8,4,1000
Entire home/apt,0,0,4,1,1000
Entire home/apt,0,0,2,0,995
Entire home/apt,0,0,6,3,900
Entire home/apt,0,0,5,2,800
Entire home/apt,0,0,5,0,1000
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,8,2,999
Entire home/apt,2,0,9,4,925
Entire home/apt,0,0,5,2,1000
Entire home/apt,0,0,4,2,1000
Entire home/apt,0,0,3,2,975
Entire home/apt,0,0,8,3,800
Entire home/apt,0,0,6,2,1000
Entire home/apt,0,0,5,2,850
Entire home/apt,0,0,4,2,1000
Entire home/apt,0,0,6,2,750
Entire home/apt,0,0,4,2,900
Entire home/apt,0,0,2,1,999
Entire home/apt,0,0,4,2,1000
Entire home/apt,0,0,5,2,900
Entire home/apt,0,0,4,2,800
Entire home/apt,9,5,5,2,1000
Entire home/apt,1,0,7,2,800
Entire home/apt,0,0,6,3,950
Entire home/apt,0,0,12,4,950
Entire home/apt,0,0,6,2,800
Entire home/apt,0,0,4,1,849
Entire home/apt,0,0,4,2,980
Entire home/apt,0,0,6,2,975
Entire home/apt,0,0,6,2,900
Entire home/apt,0,0,5,2,800
Entire home/apt,0,0,8,3,800
Entire home/apt,0,0,6,2,800
Entire home/apt,1,0,5,2,799
Entire home/apt,0,0,5,2,900
Entire home/apt,0,0,4,1,800
Entire home/apt,0,0,6,2,1000
