"","ds","location","data_type","value"
"314",2020-06-03,"US","deaths_new",1007
"315",2020-06-03,"US","cases_new",19958
"316",2020-06-02,"US","recovered_new",5637
"317",2020-06-02,"US","deaths_new",1068
"318",2020-06-02,"US","cases_new",20895
"319",2020-06-01,"US","recovered_new",13473
"320",2020-06-01,"US","deaths_new",776
"321",2020-06-01,"US","cases_new",17355
"322",2020-05-31,"US","recovered_new",28297
"323",2020-05-31,"US","deaths_new",581
"324",2020-05-31,"US","cases_new",19910
"325",2020-05-30,"US","recovered_new",10015
"326",2020-05-30,"US","deaths_new",963
"327",2020-05-30,"US","cases_new",24450
"328",2020-05-29,"US","recovered_new",6455
"329",2020-05-29,"US","cases_new",24504
"330",2020-05-29,"US","deaths_new",1160
"331",2020-05-28,"US","recovered_new",8483
"332",2020-05-28,"US","cases_new",22815
"333",2020-05-28,"US","deaths_new",1178
"334",2020-05-27,"US","recovered_new",6606
"335",2020-05-27,"US","cases_new",18282
"336",2020-05-27,"US","deaths_new",1518
"337",2020-05-26,"US","recovered_new",5745
"338",2020-05-26,"US","cases_new",18883
"339",2020-05-26,"US","deaths_new",662
"340",2020-05-25,"US","recovered_new",12421
"341",2020-05-25,"US","cases_new",18991
"342",2020-05-25,"US","deaths_new",548
"343",2020-05-24,"US","recovered_new",5497
"344",2020-05-24,"US","cases_new",20813
"345",2020-05-24,"US","deaths_new",622
"346",2020-05-23,"US","recovered_new",11104
"347",2020-05-23,"US","cases_new",21823
"348",2020-05-23,"US","deaths_new",1109
"349",2020-05-22,"US","recovered_new",51717
"350",2020-05-22,"US","cases_new",24141
"351",2020-05-22,"US","deaths_new",1244
"352",2020-05-21,"US","deaths_new",1217
"353",2020-05-21,"US","recovered_new",4106
"354",2020-05-21,"US","cases_new",25355
"355",2020-05-20,"US","deaths_new",1526
"356",2020-05-20,"US","recovered_new",4920
"357",2020-05-20,"US","cases_new",23807
"358",2020-05-19,"US","deaths_new",1552
"359",2020-05-19,"US","recovered_new",6214
"360",2020-05-19,"US","cases_new",20449
"361",2020-05-18,"US","deaths_new",1172
"362",2020-05-18,"US","recovered_new",10913
"363",2020-05-18,"US","cases_new",21769
"364",2020-05-17,"US","deaths_new",758
"365",2020-05-17,"US","recovered_new",3889
"366",2020-05-17,"US","cases_new",19004
"367",2020-05-16,"US","deaths_new",1216
"368",2020-05-16,"US","recovered_new",17629
"369",2020-05-16,"US","cases_new",25101
"370",2020-05-15,"US","deaths_new",1681
"371",2020-05-15,"US","recovered_new",4333
"372",2020-05-15,"US","cases_new",25300
"373",2020-05-14,"US","deaths_new",1783
"374",2020-05-14,"US","recovered_new",2984
"375",2020-05-14,"US","cases_new",27617
"376",2020-05-13,"US","deaths_new",1764
"377",2020-05-13,"US","recovered_new",13143
"378",2020-05-13,"US","cases_new",20958
"379",2020-05-12,"US","deaths_new",1627
"380",2020-05-12,"US","recovered_new",-2446
"381",2020-05-12,"US","cases_new",22190
"382",2020-05-11,"US","deaths_new",1014
"383",2020-05-11,"US","recovered_new",16564
"384",2020-05-11,"US","cases_new",18878
"385",2020-05-10,"US","deaths_new",893
"386",2020-05-10,"US","recovered_new",3635
"387",2020-05-10,"US","cases_new",19764
"388",2020-05-09,"US","deaths_new",1488
"389",2020-05-09,"US","cases_new",25733
"390",2020-05-09,"US","recovered_new",13541
"391",2020-05-08,"US","deaths_new",1747
"392",2020-05-08,"US","cases_new",27178
"393",2020-05-08,"US","recovered_new",3957
"394",2020-05-07,"US","deaths_new",1934
"395",2020-05-07,"US","cases_new",27882
"396",2020-05-07,"US","recovered_new",5126
"397",2020-05-06,"US","deaths_new",2364
"398",2020-05-06,"US","cases_new",25256
"399",2020-05-06,"US","recovered_new",119
"400",2020-05-05,"US","deaths_new",2318
"401",2020-05-05,"US","cases_new",24185
"402",2020-05-05,"US","recovered_new",2611
"403",2020-05-04,"US","deaths_new",1333
"404",2020-05-04,"US","cases_new",22475
"405",2020-05-04,"US","recovered_new",7028
"406",2020-05-03,"US","recovered_new",4770
"407",2020-05-03,"US","deaths_new",1120
"408",2020-05-03,"US","cases_new",25587
"409",2020-05-02,"US","deaths_new",1692
"410",2020-05-02,"US","recovered_new",11367
"411",2020-05-02,"US","cases_new",29195
"412",2020-05-01,"US","deaths_new",1891
"413",2020-05-01,"US","recovered_new",10068
"414",2020-05-01,"US","cases_new",34162
"415",2020-04-30,"US","deaths_new",2322
"416",2020-04-30,"US","recovered_new",33227
"417",2020-04-30,"US","cases_new",29629
"418",2020-04-29,"US","deaths_new",2521
"419",2020-04-29,"US","recovered_new",4784
"420",2020-04-29,"US","cases_new",27520
"421",2020-04-28,"US","deaths_new",2241
"422",2020-04-28,"US","recovered_new",4512
"423",2020-04-28,"US","cases_new",24535
"424",2020-04-27,"US","deaths_new",1466
"425",2020-04-27,"US","recovered_new",4436
"426",2020-04-27,"US","cases_new",22465
"427",2020-04-26,"US","deaths_new",1329
"428",2020-04-26,"US","cases_new",27689
"429",2020-04-26,"US","recovered_new",6616
"430",2020-04-25,"US","deaths_new",1698
"431",2020-04-25,"US","cases_new",32921
"432",2020-04-25,"US","recovered_new",1293
"433",2020-04-24,"US","deaths_new",2154
"434",2020-04-24,"US","recovered_new",18876
"435",2020-04-24,"US","cases_new",36291
"436",2020-04-23,"US","recovered_new",2837
"437",2020-04-23,"US","cases_new",33990
"438",2020-04-23,"US","deaths_new",2469
"439",2020-04-22,"US","recovered_new",2162
"440",2020-04-22,"US","cases_new",28332
"441",2020-04-22,"US","deaths_new",2434
"442",2020-04-21,"US","recovered_new",2875
"443",2020-04-21,"US","cases_new",25364
"444",2020-04-21,"US","deaths_new",2548
"445",2020-04-20,"US","recovered_new",1992
"446",2020-04-20,"US","deaths_new",2186
"447",2020-04-20,"US","cases_new",27387
"448",2020-04-19,"US","recovered_new",5497
